full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
1rgs/claude-code-proxy,3710,3710,485,0,0,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1666,1666,638,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
Windy3f3f3f3f/how-claude-code-works,3291,3291,682,0,0,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
disler/claude-code-hooks-mastery,3852,3852,631,0,0,0,https://github.com/disler/claude-code-hooks-mastery
alejandrobalderas/claude-code-from-source,2736,2736,744,0,0,0,https://github.com/alejandrobalderas/claude-code-from-source
Maciek-roboblog/Claude-Code-Usage-Monitor,8532,8532,441,5,5,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
777genius/claude-code-source-code,921,921,1092,0,0,0,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3271,3271,377,-1,-1,0,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2755,2755,413,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
affaan-m/ECC,233697,233697,35621,74,74,10,https://github.com/affaan-m/ECC
fazxes/Claude-code,227,227,214,0,0,0,https://github.com/fazxes/Claude-code
RichardAtCT/claude-code-telegram,2743,2743,402,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
kodu-ai/claude-coder,5253,5253,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2402,2402,407,0,0,1,https://github.com/Yuyz0112/claude-code-reverse
asgeirtj/system_prompts_leaks,60730,60730,9923,52,52,13,https://github.com/asgeirtj/system_prompts_leaks
SeemSeam/claude_codex_bridge,3320,3320,323,0,0,0,https://github.com/SeemSeam/claude_codex_bridge
Windy3f3f3f3f/claude-code-from-scratch,2465,2465,509,1,1,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
Cranot/claude-code-guide,2851,2851,319,0,0,0,https://github.com/Cranot/claude-code-guide
luyao618/Claude-Code-Source-Study,1636,1636,559,2,2,0,https://github.com/luyao618/Claude-Code-Source-Study
Chachamaru127/claude-code-harness,3019,3019,292,3,3,0,https://github.com/Chachamaru127/claude-code-harness
https-deeplearning-ai/sc-claude-code-files,536,536,821,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1174,1174,388,0,0,0,https://github.com/repowise-dev/claude-code-prompts
AprilNEA/claude-code-source,392,392,608,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,928,928,609,0,0,0,https://github.com/anthropics/claude-code-base-action
multica-ai/andrej-karpathy-skills,196589,196589,20235,48,48,4,https://github.com/multica-ai/andrej-karpathy-skills
huangjia2019/claude-code-engineering,1020,1020,364,2,2,0,https://github.com/huangjia2019/claude-code-engineering
guanshan/ClaudeCode,61,61,212,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,370,370,546,0,0,0,https://github.com/JrCx7scC/claude-code-source
anthropics/skills,164363,164363,19528,43,43,2,https://github.com/anthropics/skills
jqueryscript/awesome-claude-code,478,478,479,0,0,-1,https://github.com/jqueryscript/awesome-claude-code
edmund-io/edmunds-claude-code,1488,1488,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Pimzino/claude-code-spec-workflow,3802,3802,265,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,38099,38099,3435,11,11,0,https://github.com/Yeachan-Heo/oh-my-claudecode
disler/pi-vs-claude-code,1541,1541,365,0,0,0,https://github.com/disler/pi-vs-claude-code
andrew-kramer-inno/claude-code-source-build,595,595,519,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
VILA-Lab/Dive-into-Claude-Code,1988,1988,308,1,1,0,https://github.com/VILA-Lab/Dive-into-Claude-Code
AICoderTudou/claude-code-tudou,497,497,396,0,0,1,https://github.com/AICoderTudou/claude-code-tudou
feiskyer/claude-code-settings,1609,1609,242,0,0,0,https://github.com/feiskyer/claude-code-settings
krusemediallc/arcads-claude-code,1046,1046,284,0,0,0,https://github.com/krusemediallc/arcads-claude-code
darcyegb/ClaudeCodeAgents,750,750,69,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
digitalsamba/claude-code-video-toolkit,1831,1831,302,5,5,1,https://github.com/digitalsamba/claude-code-video-toolkit
KPR111/Claude-Code,18,18,325,0,0,0,https://github.com/KPR111/Claude-Code
jeremylongshore/claude-code-plugins-plus-skills,2557,2557,368,0,0,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
OrcaWhisper/Claude-Code,86,86,167,0,0,0,https://github.com/OrcaWhisper/Claude-Code
xu-xiang/everything-claude-code-zh,1759,1759,297,2,2,1,https://github.com/xu-xiang/everything-claude-code-zh
router-for-me/CLIProxyAPI,45082,45082,7025,26,26,1,https://github.com/router-for-me/CLIProxyAPI
centminmod/my-claude-code-setup,2533,2533,238,-1,-1,0,https://github.com/centminmod/my-claude-code-setup
luongnv89/claude-howto,40579,40579,4932,4,4,1,https://github.com/luongnv89/claude-howto
simonw/claude-code-transcripts,1635,1635,194,1635,1635,194,https://github.com/simonw/claude-code-transcripts
Njengah/claude-code-cheat-sheet,1882,1882,255,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
