full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
edmund-io/edmunds-claude-code,1330,1330,274,1,1,1,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,17081,17081,2759,26,26,2,https://github.com/router-for-me/CLIProxyAPI
https-deeplearning-ai/sc-claude-code-files,453,453,614,2,2,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
wshobson/agents,31426,31426,3439,15,15,0,https://github.com/wshobson/agents
ding113/claude-code-hub,1883,1883,226,1,1,0,https://github.com/ding113/claude-code-hub
Pimzino/claude-code-spec-workflow,3538,3538,247,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,25952,25952,2451,2,2,0,https://github.com/eyaltoledano/claude-task-master
obra/superpowers,88619,88619,7001,428,428,36,https://github.com/obra/superpowers
snarktank/ralph,13034,13034,1378,17,17,3,https://github.com/snarktank/ralph
siteboon/claudecodeui,8517,8517,1095,8,8,1,https://github.com/siteboon/claudecodeui
FlorianBruniaux/claude-code-ultimate-guide,1598,1598,261,10,10,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
EveryInc/compound-engineering-plugin,10474,10474,839,9,9,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1306,1306,193,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,963,963,221,0,0,0,https://github.com/sugyan/claude-code-webui
carlvellotti/claude-code-pm-course,1633,1633,245,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,861,861,422,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
zhukunpenglinyutong/idea-claude-code-gui,1830,1830,212,1,1,0,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
centminmod/my-claude-code-setup,2056,2056,204,3,3,1,https://github.com/centminmod/my-claude-code-setup
lst97/claude-code-sub-agents,1473,1473,235,1,1,0,https://github.com/lst97/claude-code-sub-agents
sickn33/antigravity-awesome-skills,24964,24964,4275,64,64,11,https://github.com/sickn33/antigravity-awesome-skills
nishimoto265/Claude-Code-Communication,495,495,237,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
darcyegb/ClaudeCodeAgents,595,595,53,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
github/spec-kit,77497,77497,6585,61,61,3,https://github.com/github/spec-kit
bfly123/claude_code_bridge,1624,1624,148,0,0,1,https://github.com/bfly123/claude_code_bridge
anthropics/claude-plugins-official,12357,12357,1185,20,20,2,https://github.com/anthropics/claude-plugins-official
rizethereum/claude-code-requirements-builder,1756,1756,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
Njengah/claude-code-cheat-sheet,1439,1439,182,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
trailofbits/claude-code-config,1609,1609,122,-1,-1,0,https://github.com/trailofbits/claude-code-config
slopus/happy,15409,15409,1205,20,20,4,https://github.com/slopus/happy
steipete/claude-code-mcp,1176,1176,144,1,1,0,https://github.com/steipete/claude-code-mcp
andrepimenta/claude-code-chat,1005,1005,155,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1271,1271,353,1,1,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
catlog22/Claude-Code-Workflow,1478,1478,123,0,0,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,28917,28917,1742,21,21,3,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1134,1134,128,1,1,0,https://github.com/simonw/claude-code-transcripts
JessyTsui/Claude-Code-Remote,1166,1166,124,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
jeremylongshore/claude-code-plugins-plus-skills,1631,1631,201,1,1,1,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
jarrodwatts/claude-code-config,979,979,122,0,0,0,https://github.com/jarrodwatts/claude-code-config
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2032,2032,330,1,1,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
peterkrueck/Claude-Code-Development-Kit,1326,1326,153,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
pchalasani/claude-code-tools,1584,1584,100,1,1,0,https://github.com/pchalasani/claude-code-tools
0xfurai/claude-code-subagents,776,776,143,0,0,0,https://github.com/0xfurai/claude-code-subagents
winfunc/opcode,20962,20962,1617,2,2,-1,https://github.com/winfunc/opcode
Alishahryar1/free-claude-code,991,991,118,1,1,0,https://github.com/Alishahryar1/free-claude-code
alirezarezvani/claude-code-tresor,623,623,141,2,2,0,https://github.com/alirezarezvani/claude-code-tresor
alirezarezvani/claude-skills,5409,5409,625,30,30,6,https://github.com/alirezarezvani/claude-skills
d-kimuson/claude-code-viewer,972,972,111,0,0,0,https://github.com/d-kimuson/claude-code-viewer
revfactory/claude-code-mastering,761,761,124,0,0,0,https://github.com/revfactory/claude-code-mastering
wasabeef/claude-code-cookbook,1039,1039,110,0,0,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,44770,44770,4535,66,66,16,https://github.com/ComposioHQ/awesome-claude-skills
anthropics/claude-agent-sdk-demos,1725,1725,266,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
cixingguangming55555/wechat-bot,2533,2533,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
OthmanAdi/planning-with-files,16219,16219,1491,12,12,1,https://github.com/OthmanAdi/planning-with-files
Yeachan-Heo/oh-my-claudecode,9989,9989,702,21,21,1,https://github.com/Yeachan-Heo/oh-my-claudecode
rohitg00/awesome-claude-code-toolkit,827,827,143,0,0,1,https://github.com/rohitg00/awesome-claude-code-toolkit
ericbuess/claude-code-docs,736,736,105,0,0,0,https://github.com/ericbuess/claude-code-docs
code-yeongyu/oh-my-openagent,40527,40527,3053,29,29,-1,https://github.com/code-yeongyu/oh-my-openagent
severity1/claude-code-prompt-improver,1278,1278,109,2,2,1,https://github.com/severity1/claude-code-prompt-improver
numman-ali/openskills,9037,9037,578,2,2,0,https://github.com/numman-ali/openskills
anthropics/claude-agent-sdk-python,5490,5490,731,6,6,1,https://github.com/anthropics/claude-agent-sdk-python
daymade/claude-code-skills,659,659,100,3,3,0,https://github.com/daymade/claude-code-skills
MadAppGang/claude-code,245,245,25,0,0,0,https://github.com/MadAppGang/claude-code
greggh/claude-code.nvim,1922,1922,62,0,0,0,https://github.com/greggh/claude-code.nvim
anomalyco/opencode,123479,123479,12871,112,112,16,https://github.com/anomalyco/opencode
ccplugins/awesome-claude-code-plugins,625,625,133,0,0,0,https://github.com/ccplugins/awesome-claude-code-plugins
wanshuiyin/Auto-claude-code-research-in-sleep,1666,1666,155,18,18,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
BloopAI/vibe-kanban,23285,23285,2288,11,11,1,https://github.com/BloopAI/vibe-kanban
PleasePrompto/notebooklm-skill,4593,4593,462,17,17,2,https://github.com/PleasePrompto/notebooklm-skill
disler/pi-vs-claude-code,485,485,140,7,7,1,https://github.com/disler/pi-vs-claude-code
kepano/obsidian-skills,14366,14366,796,14366,14366,796,https://github.com/kepano/obsidian-skills
